Gene_Name	HPO_ID	HPO_Name	Gene_Disease
POMT2	HP:0030872	Abnormal cardiac ventricular function	Neuro
POR	HP:0000138	Ovarian cyst	None
POU2AF1	HP:0001402	Hepatocellular carcinoma	None
PPARG	HP:0000138	Ovarian cyst	None
PPCS	HP:0030872	Abnormal cardiac ventricular function	None
PRDM16	HP:0030872	Abnormal cardiac ventricular function	Cardio
PRF1	HP:0010931	Abnormal blood sodium concentration	None
PRKACG	HP:0011876	Abnormal platelet volume	None
PRKAR1A	HP:0012126	Stomach cancer	Cancer
PRKAR1A	HP:0000138	Ovarian cyst	Cancer
PRKCD	HP:0001402	Hepatocellular carcinoma	None
PRKG1	HP:0030872	Abnormal cardiac ventricular function	Cardio
PRLR	HP:0000138	Ovarian cyst	None
PRNP	HP:0002457	Abnormal head movements	None
PTEN	HP:0000138	Ovarian cyst	Cancer
RASGRP1	HP:0001402	Hepatocellular carcinoma	None
RFC2	HP:0000138	Ovarian cyst	None
ROR2	HP:0030872	Abnormal cardiac ventricular function	None
RPL5	HP:0011902	Abnormal hemoglobin	Cancer
RPL5	HP:0011902	Abnormal hemoglobin	Hema
RPS20	HP:0012126	Stomach cancer	None
RPS20	HP:0001402	Hepatocellular carcinoma	None
RPS24	HP:0011902	Abnormal hemoglobin	Hema
RPS24	HP:0011902	Abnormal hemoglobin	Cancer
RRM2B	HP:0030872	Abnormal cardiac ventricular function	None
RYR2	HP:0030872	Abnormal cardiac ventricular function	Cardio
SAMD9	HP:0010931	Abnormal blood sodium concentration	None
SARS2	HP:0010931	Abnormal blood sodium concentration	None
SBDS	HP:0011902	Abnormal hemoglobin	Cancer
SC5D	HP:0011876	Abnormal platelet volume	None
SCN4A	HP:0010931	Abnormal blood sodium concentration	Neuro
SCNN1A	HP:0010931	Abnormal blood sodium concentration	None
SCNN1B	HP:0010931	Abnormal blood sodium concentration	None
SCNN1G	HP:0010931	Abnormal blood sodium concentration	None
SDHA	HP:0030872	Abnormal cardiac ventricular function	Cancer
SDHA	HP:0030872	Abnormal cardiac ventricular function	Cardio
SDHAF1	HP:0030872	Abnormal cardiac ventricular function	None
SDHB	HP:0030872	Abnormal cardiac ventricular function	Cancer
SDHB	HP:0000138	Ovarian cyst	Cancer
SDHC	HP:0000138	Ovarian cyst	Cancer
SDHD	HP:0000138	Ovarian cyst	Cancer
SDHD	HP:0030872	Abnormal cardiac ventricular function	Cancer
SEC23B	HP:0000138	Ovarian cyst	None
SELENON	HP:0030872	Abnormal cardiac ventricular function	None
SEMA4A	HP:0001402	Hepatocellular carcinoma	None
SEMA4A	HP:0012126	Stomach cancer	None
SERPINA1	HP:0001402	Hepatocellular carcinoma	None
SETD2	HP:0000138	Ovarian cyst	None
SGCG	HP:0030872	Abnormal cardiac ventricular function	Neuro
SKIV2L	HP:0011876	Abnormal platelet volume	None
SLC25A13	HP:0001402	Hepatocellular carcinoma	None
SLC25A4	HP:0030872	Abnormal cardiac ventricular function	Cardio
SLC26A3	HP:0010931	Abnormal blood sodium concentration	None
SLC2A1	HP:0002457	Abnormal head movements	Neuro
SLC35A1	HP:0011876	Abnormal platelet volume	None
SLC37A4	HP:0001402	Hepatocellular carcinoma	None
SMAD3	HP:0030872	Abnormal cardiac ventricular function	Cardio
SOX3	HP:0000138	Ovarian cyst	None
SOX9	HP:0000138	Ovarian cyst	None
SPIB	HP:0001402	Hepatocellular carcinoma	None
SPRTN	HP:0001402	Hepatocellular carcinoma	None
SRP54	HP:0011902	Abnormal hemoglobin	None
SRY	HP:0000138	Ovarian cyst	None
STAR	HP:0010931	Abnormal blood sodium concentration	None
STK11	HP:0012126	Stomach cancer	Cancer
STK11	HP:0000138	Ovarian cyst	Cancer
STOX1	HP:0000138	Ovarian cyst	None
TAB2	HP:0030872	Abnormal cardiac ventricular function	Cardio
TBL2	HP:0000138	Ovarian cyst	None
TBX19	HP:0010931	Abnormal blood sodium concentration	None
TCF4	HP:0001402	Hepatocellular carcinoma	Neuro
TDP2	HP:0010931	Abnormal blood sodium concentration	None
TET2	HP:0030872	Abnormal cardiac ventricular function	None
TGFB2	HP:0030872	Abnormal cardiac ventricular function	Cardio
TGFB3	HP:0030872	Abnormal cardiac ventricular function	Cardio
TGFBR1	HP:0030872	Abnormal cardiac ventricular function	Cardio
TGFBR2	HP:0030872	Abnormal cardiac ventricular function	Cardio
TGFBR2	HP:0001402	Hepatocellular carcinoma	Cardio
TJP2	HP:0001402	Hepatocellular carcinoma	None
TNFSF15	HP:0001402	Hepatocellular carcinoma	None
TNPO3	HP:0001402	Hepatocellular carcinoma	Neuro
TOP3A	HP:0030872	Abnormal cardiac ventricular function	None
TP53	HP:0001402	Hepatocellular carcinoma	Cancer
TRDN	HP:0030872	Abnormal cardiac ventricular function	Cardio
TRIP13	HP:0012126	Stomach cancer	None
TRNC	HP:0030872	Abnormal cardiac ventricular function	None
TRNF	HP:0030872	Abnormal cardiac ventricular function	None
TRNK	HP:0030872	Abnormal cardiac ventricular function	None
TRNL1	HP:0030872	Abnormal cardiac ventricular function	None
TRNQ	HP:0030872	Abnormal cardiac ventricular function	None
TRNS1	HP:0030872	Abnormal cardiac ventricular function	None
TRNS2	HP:0030872	Abnormal cardiac ventricular function	None
TRNV	HP:0030872	Abnormal cardiac ventricular function	None
TRNW	HP:0030872	Abnormal cardiac ventricular function	None
TTC37	HP:0011876	Abnormal platelet volume	None
TTN	HP:0030872	Abnormal cardiac ventricular function	Cardio
TTN	HP:0030872	Abnormal cardiac ventricular function	Neuro
TUBB1	HP:0011876	Abnormal platelet volume	None
TWNK	HP:0030872	Abnormal cardiac ventricular function	None
TXNRD2	HP:0010931	Abnormal blood sodium concentration	Cardio
UCHL1	HP:0002457	Abnormal head movements	None
UROD	HP:0001402	Hepatocellular carcinoma	None
VAMP1	HP:0002457	Abnormal head movements	Neuro
WAS	HP:0011876	Abnormal platelet volume	Hema
WNT5A	HP:0030872	Abnormal cardiac ventricular function	None
WT1	HP:0000138	Ovarian cyst	Cancer
