session_id,session_type,session_date
MEC-20170201-M,morning,02/01/2017
MEC-20170202-A,afternoon,02/02/2017
MEC-20170202-E,evening,02/02/2017
MEC-20170202-M,morning,02/02/2017
MEC-20170203-A,afternoon,02/03/2017
MEC-20170203-E,evening,02/03/2017
MEC-20170203-M,morning,02/03/2017
MEC-20170206-A,afternoon,02/06/2017
MEC-20170206-E,evening,02/06/2017
MEC-20170206-M,morning,02/06/2017
MEC-20170207-A,afternoon,02/07/2017
MEC-20170207-E,evening,02/07/2017
MEC-20170207-M,morning,02/07/2017
MEC-20170208-A,afternoon,02/08/2017
MEC-20170208-E,evening,02/08/2017
MEC-20170208-M,morning,02/08/2017
MEC-20170209-A,afternoon,02/09/2017
MEC-20170209-E,evening,02/09/2017
MEC-20170209-M,morning,02/09/2017
MEC-20170210-A,afternoon,02/10/2017
MEC-20170210-E,evening,02/10/2017
MEC-20170210-M,morning,02/10/2017
MEC-20170213-A,afternoon,02/13/2017
MEC-20170213-E,evening,02/13/2017
MEC-20170213-M,morning,02/13/2017
MEC-20170214-A,afternoon,02/14/2017
MEC-20170214-E,evening,02/14/2017
MEC-20170214-M,morning,02/14/2017
MEC-20170215-A,afternoon,02/15/2017
MEC-20170215-E,evening,02/15/2017
MEC-20170215-M,morning,02/15/2017
MEC-20170216-A,afternoon,02/16/2017
MEC-20170216-E,evening,02/16/2017
MEC-20170216-M,morning,02/16/2017
MEC-20170217-A,afternoon,02/17/2017
MEC-20170217-E,evening,02/17/2017
MEC-20170217-M,morning,02/17/2017
MEC-20170220-A,afternoon,02/20/2017
MEC-20170220-E,evening,02/20/2017
MEC-20170220-M,morning,02/20/2017
MEC-20170221-A,afternoon,02/21/2017
MEC-20170221-E,evening,02/21/2017
MEC-20170221-M,morning,02/21/2017
MEC-20170222-A,afternoon,02/22/2017
MEC-20170222-E,evening,02/22/2017
MEC-20170222-M,morning,02/22/2017
MEC-20170223-A,afternoon,02/23/2017
MEC-20170223-E,evening,02/23/2017
MEC-20170223-M,morning,02/23/2017
MEC-20170224-A,afternoon,02/24/2017
MEC-20170224-E,evening,02/24/2017
MEC-20170224-M,morning,02/24/2017
MEC-20170227-A,afternoon,02/27/2017
MEC-20170227-E,evening,02/27/2017
MEC-20170227-M,morning,02/27/2017
MEC-20170228-A,afternoon,02/28/2017
MEC-20170228-E,evening,02/28/2017
MEC-20170228-M,morning,02/28/2017
MEC-20170301-A,afternoon,03/01/2017
MEC-20170301-E,evening,03/01/2017
MEC-20170301-M,morning,03/01/2017
MEC-20170302-A,afternoon,03/02/2017
MEC-20170302-E,evening,03/02/2017
MEC-20170302-M,morning,03/02/2017
MEC-20170303-A,afternoon,03/03/2017
MEC-20170303-E,evening,03/03/2017
MEC-20170303-M,morning,03/03/2017
MEC-20170306-A,afternoon,03/06/2017
MEC-20170306-E,evening,03/06/2017
MEC-20170306-M,morning,03/06/2017
MEC-20170307-A,afternoon,03/07/2017
MEC-20170307-E,evening,03/07/2017
MEC-20170307-M,morning,03/07/2017
MEC-20170308-A,afternoon,03/08/2017
MEC-20170308-E,evening,03/08/2017
MEC-20170308-M,morning,03/08/2017
MEC-20170309-A,afternoon,03/09/2017
MEC-20170309-E,evening,03/09/2017
MEC-20170309-M,morning,03/09/2017
MEC-20170310-A,afternoon,03/10/2017
MEC-20170310-E,evening,03/10/2017
MEC-20170310-M,morning,03/10/2017
MEC-20170313-A,afternoon,03/13/2017
MEC-20170313-E,evening,03/13/2017
MEC-20170313-M,morning,03/13/2017
MEC-20170314-A,afternoon,03/14/2017
MEC-20170314-E,evening,03/14/2017
MEC-20170314-M,morning,03/14/2017
MEC-20170315-A,afternoon,03/15/2017
MEC-20170315-E,evening,03/15/2017
MEC-20170315-M,morning,03/15/2017
MEC-20170316-A,afternoon,03/16/2017
MEC-20170316-E,evening,03/16/2017
MEC-20170316-M,morning,03/16/2017
MEC-20170317-A,afternoon,03/17/2017
MEC-20170317-E,evening,03/17/2017
MEC-20170317-M,morning,03/17/2017
MEC-20170320-A,afternoon,03/20/2017
MEC-20170320-E,evening,03/20/2017
MEC-20170320-M,morning,03/20/2017
MEC-20170321-A,afternoon,03/21/2017
MEC-20170321-E,evening,03/21/2017
MEC-20170321-M,morning,03/21/2017
MEC-20170322-A,afternoon,03/22/2017
MEC-20170322-E,evening,03/22/2017
MEC-20170322-M,morning,03/22/2017
MEC-20170323-A,afternoon,03/23/2017
MEC-20170323-E,evening,03/23/2017
MEC-20170323-M,morning,03/23/2017
MEC-20170324-A,afternoon,03/24/2017
MEC-20170324-E,evening,03/24/2017
MEC-20170324-M,morning,03/24/2017
MEC-20170327-A,afternoon,03/27/2017
MEC-20170327-E,evening,03/27/2017
MEC-20170327-M,morning,03/27/2017
MEC-20170328-A,afternoon,03/28/2017
MEC-20170328-E,evening,03/28/2017
MEC-20170328-M,morning,03/28/2017
MEC-20170329-A,afternoon,03/29/2017
MEC-20170329-E,evening,03/29/2017
MEC-20170329-M,morning,03/29/2017
MEC-20170330-A,afternoon,03/30/2017
MEC-20170330-E,evening,03/30/2017
MEC-20170330-M,morning,03/30/2017
MEC-20170331-A,afternoon,03/31/2017
MEC-20170331-E,evening,03/31/2017
MEC-20170331-M,morning,03/31/2017
MEC-20170403-A,afternoon,04/03/2017
MEC-20170403-E,evening,04/03/2017
MEC-20170403-M,morning,04/03/2017
MEC-20170404-A,afternoon,04/04/2017
MEC-20170404-E,evening,04/04/2017
MEC-20170404-M,morning,04/04/2017
MEC-20170405-A,afternoon,04/05/2017
MEC-20170405-E,evening,04/05/2017
MEC-20170405-M,morning,04/05/2017
MEC-20170406-A,afternoon,04/06/2017
MEC-20170406-E,evening,04/06/2017
MEC-20170406-M,morning,04/06/2017
MEC-20170407-A,afternoon,04/07/2017
MEC-20170407-E,evening,04/07/2017
MEC-20170407-M,morning,04/07/2017
MEC-20170410-A,afternoon,04/10/2017
MEC-20170410-E,evening,04/10/2017
MEC-20170410-M,morning,04/10/2017
MEC-20170411-A,afternoon,04/11/2017
MEC-20170411-E,evening,04/11/2017
MEC-20170411-M,morning,04/11/2017
MEC-20170412-A,afternoon,04/12/2017
MEC-20170412-E,evening,04/12/2017
MEC-20170412-M,morning,04/12/2017
MEC-20170413-A,afternoon,04/13/2017
MEC-20170413-E,evening,04/13/2017
MEC-20170413-M,morning,04/13/2017
MEC-20170414-A,afternoon,04/14/2017
MEC-20170414-E,evening,04/14/2017
MEC-20170414-M,morning,04/14/2017
MEC-20170417-A,afternoon,04/17/2017
MEC-20170417-E,evening,04/17/2017
MEC-20170417-M,morning,04/17/2017
MEC-20170418-A,afternoon,04/18/2017
MEC-20170418-E,evening,04/18/2017
MEC-20170418-M,morning,04/18/2017
MEC-20170419-A,afternoon,04/19/2017
MEC-20170419-E,evening,04/19/2017
MEC-20170419-M,morning,04/19/2017
MEC-20170420-A,afternoon,04/20/2017
MEC-20170420-E,evening,04/20/2017
MEC-20170420-M,morning,04/20/2017
MEC-20170421-A,afternoon,04/21/2017
MEC-20170421-E,evening,04/21/2017
MEC-20170421-M,morning,04/21/2017
MEC-20170424-A,afternoon,04/24/2017
MEC-20170424-E,evening,04/24/2017
MEC-20170424-M,morning,04/24/2017
MEC-20170425-A,afternoon,04/25/2017
MEC-20170425-E,evening,04/25/2017
MEC-20170425-M,morning,04/25/2017
MEC-20170426-A,afternoon,04/26/2017
MEC-20170426-E,evening,04/26/2017
MEC-20170426-M,morning,04/26/2017
MEC-20170427-A,afternoon,04/27/2017
MEC-20170427-E,evening,04/27/2017
MEC-20170427-M,morning,04/27/2017
MEC-20170428-A,afternoon,04/28/2017
MEC-20170428-E,evening,04/28/2017
MEC-20170428-M,morning,04/28/2017
MEC-20170501-A,afternoon,05/01/2017
MEC-20170501-E,evening,05/01/2017
MEC-20170501-M,morning,05/01/2017
MEC-20170502-A,afternoon,05/02/2017
MEC-20170502-E,evening,05/02/2017
MEC-20170502-M,morning,05/02/2017
MEC-20170503-A,afternoon,05/03/2017
MEC-20170503-E,evening,05/03/2017
MEC-20170503-M,morning,05/03/2017
MEC-20170504-A,afternoon,05/04/2017
MEC-20170504-E,evening,05/04/2017
MEC-20170504-M,morning,05/04/2017
MEC-20170505-A,afternoon,05/05/2017
MEC-20170505-E,evening,05/05/2017
MEC-20170505-M,morning,05/05/2017
MEC-20170508-A,afternoon,05/08/2017
MEC-20170508-E,evening,05/08/2017
MEC-20170508-M,morning,05/08/2017
MEC-20170509-A,afternoon,05/09/2017
MEC-20170509-E,evening,05/09/2017
MEC-20170509-M,morning,05/09/2017
MEC-20170510-A,afternoon,05/10/2017
MEC-20170510-E,evening,05/10/2017
MEC-20170510-M,morning,05/10/2017
MEC-20170511-A,afternoon,05/11/2017
MEC-20170511-E,evening,05/11/2017
MEC-20170511-M,morning,05/11/2017
MEC-20170512-A,afternoon,05/12/2017
MEC-20170512-E,evening,05/12/2017
MEC-20170512-M,morning,05/12/2017
MEC-20170515-A,afternoon,05/15/2017
MEC-20170515-E,evening,05/15/2017
MEC-20170515-M,morning,05/15/2017
MEC-20170516-A,afternoon,05/16/2017
MEC-20170516-E,evening,05/16/2017
MEC-20170516-M,morning,05/16/2017
MEC-20170517-A,afternoon,05/17/2017
MEC-20170517-E,evening,05/17/2017
MEC-20170517-M,morning,05/17/2017
MEC-20170518-A,afternoon,05/18/2017
MEC-20170518-E,evening,05/18/2017
MEC-20170518-M,morning,05/18/2017
MEC-20170519-A,afternoon,05/19/2017
MEC-20170519-E,evening,05/19/2017
MEC-20170519-M,morning,05/19/2017
MEC-20170522-A,afternoon,05/22/2017
MEC-20170522-E,evening,05/22/2017
MEC-20170522-M,morning,05/22/2017
MEC-20170523-A,afternoon,05/23/2017
MEC-20170523-E,evening,05/23/2017
MEC-20170523-M,morning,05/23/2017
MEC-20170524-A,afternoon,05/24/2017
MEC-20170524-E,evening,05/24/2017
MEC-20170524-M,morning,05/24/2017
MEC-20170525-A,afternoon,05/25/2017
MEC-20170525-E,evening,05/25/2017
MEC-20170525-M,morning,05/25/2017
MEC-20170526-A,afternoon,05/26/2017
MEC-20170526-E,evening,05/26/2017
MEC-20170526-M,morning,05/26/2017
MEC-20170529-A,afternoon,05/29/2017
MEC-20170529-E,evening,05/29/2017
MEC-20170529-M,morning,05/29/2017
MEC-20170530-A,afternoon,05/30/2017
MEC-20170530-E,evening,05/30/2017
MEC-20170530-M,morning,05/30/2017
MEC-20170531-A,afternoon,05/31/2017
MEC-20170531-E,evening,05/31/2017
MEC-20170531-M,morning,05/31/2017
MEC-20170601-A,afternoon,06/01/2017
MEC-20170601-E,evening,06/01/2017
MEC-20170601-M,morning,06/01/2017
MEC-20170602-A,afternoon,06/02/2017
MEC-20170602-E,evening,06/02/2017
MEC-20170602-M,morning,06/02/2017
MEC-20170605-A,afternoon,06/05/2017
MEC-20170605-E,evening,06/05/2017
MEC-20170605-M,morning,06/05/2017
MEC-20170606-A,afternoon,06/06/2017
MEC-20170606-E,evening,06/06/2017
MEC-20170606-M,morning,06/06/2017
MEC-20170607-A,afternoon,06/07/2017
MEC-20170607-E,evening,06/07/2017
MEC-20170607-M,morning,06/07/2017
MEC-20170608-A,afternoon,06/08/2017
MEC-20170608-E,evening,06/08/2017
MEC-20170608-M,morning,06/08/2017
MEC-20170609-A,afternoon,06/09/2017
MEC-20170609-E,evening,06/09/2017
MEC-20170609-M,morning,06/09/2017
MEC-20170612-A,afternoon,06/12/2017
MEC-20170612-E,evening,06/12/2017
MEC-20170612-M,morning,06/12/2017
MEC-20170613-A,afternoon,06/13/2017
MEC-20170613-E,evening,06/13/2017
MEC-20170613-M,morning,06/13/2017
MEC-20170614-A,afternoon,06/14/2017
MEC-20170614-E,evening,06/14/2017
MEC-20170614-M,morning,06/14/2017
MEC-20170615-A,afternoon,06/15/2017
MEC-20170615-E,evening,06/15/2017
MEC-20170615-M,morning,06/15/2017
MEC-20170616-A,afternoon,06/16/2017
MEC-20170616-E,evening,06/16/2017
MEC-20170616-M,morning,06/16/2017
MEC-20170619-A,afternoon,06/19/2017
MEC-20170619-E,evening,06/19/2017
MEC-20170619-M,morning,06/19/2017
MEC-20170620-A,afternoon,06/20/2017
MEC-20170620-E,evening,06/20/2017
MEC-20170620-M,morning,06/20/2017
MEC-20170621-A,afternoon,06/21/2017
MEC-20170621-E,evening,06/21/2017
MEC-20170621-M,morning,06/21/2017
MEC-20170622-A,afternoon,06/22/2017
MEC-20170622-E,evening,06/22/2017
MEC-20170622-M,morning,06/22/2017
MEC-20170623-A,afternoon,06/23/2017
MEC-20170623-E,evening,06/23/2017
MEC-20170623-M,morning,06/23/2017
MEC-20170626-A,afternoon,06/26/2017
MEC-20170626-E,evening,06/26/2017
MEC-20170626-M,morning,06/26/2017
MEC-20170627-A,afternoon,06/27/2017
MEC-20170627-E,evening,06/27/2017
MEC-20170627-M,morning,06/27/2017
MEC-20170628-A,afternoon,06/28/2017
MEC-20170628-E,evening,06/28/2017
MEC-20170628-M,morning,06/28/2017
MEC-20170629-A,afternoon,06/29/2017
MEC-20170629-E,evening,06/29/2017
MEC-20170629-M,morning,06/29/2017
MEC-20170630-A,afternoon,06/30/2017
MEC-20170630-E,evening,06/30/2017
MEC-20170630-M,morning,06/30/2017
MEC-20170703-A,afternoon,07/03/2017
MEC-20170703-E,evening,07/03/2017
MEC-20170703-M,morning,07/03/2017
MEC-20170704-A,afternoon,07/04/2017
MEC-20170704-E,evening,07/04/2017
MEC-20170704-M,morning,07/04/2017
MEC-20170705-A,afternoon,07/05/2017
MEC-20170705-E,evening,07/05/2017
MEC-20170705-M,morning,07/05/2017
MEC-20170706-A,afternoon,07/06/2017
MEC-20170706-E,evening,07/06/2017
MEC-20170706-M,morning,07/06/2017
MEC-20170707-A,afternoon,07/07/2017
MEC-20170707-E,evening,07/07/2017
MEC-20170707-M,morning,07/07/2017
MEC-20170710-A,afternoon,07/10/2017
MEC-20170710-E,evening,07/10/2017
MEC-20170710-M,morning,07/10/2017
MEC-20170711-A,afternoon,07/11/2017
MEC-20170711-E,evening,07/11/2017
MEC-20170711-M,morning,07/11/2017
MEC-20170712-A,afternoon,07/12/2017
MEC-20170712-E,evening,07/12/2017
MEC-20170712-M,morning,07/12/2017
MEC-20170713-A,afternoon,07/13/2017
MEC-20170713-E,evening,07/13/2017
MEC-20170713-M,morning,07/13/2017
MEC-20170714-A,afternoon,07/14/2017
MEC-20170714-E,evening,07/14/2017
MEC-20170714-M,morning,07/14/2017
MEC-20170717-A,afternoon,07/17/2017
MEC-20170717-E,evening,07/17/2017
MEC-20170717-M,morning,07/17/2017
MEC-20170718-A,afternoon,07/18/2017
MEC-20170718-E,evening,07/18/2017
MEC-20170718-M,morning,07/18/2017
MEC-20170719-A,afternoon,07/19/2017
MEC-20170719-E,evening,07/19/2017
MEC-20170719-M,morning,07/19/2017
MEC-20170720-A,afternoon,07/20/2017
MEC-20170720-E,evening,07/20/2017
MEC-20170720-M,morning,07/20/2017
MEC-20170721-A,afternoon,07/21/2017
MEC-20170721-E,evening,07/21/2017
MEC-20170721-M,morning,07/21/2017
MEC-20170724-A,afternoon,07/24/2017
MEC-20170724-E,evening,07/24/2017
MEC-20170724-M,morning,07/24/2017
MEC-20170725-A,afternoon,07/25/2017
MEC-20170725-E,evening,07/25/2017
MEC-20170725-M,morning,07/25/2017
MEC-20170726-A,afternoon,07/26/2017
MEC-20170726-E,evening,07/26/2017
MEC-20170726-M,morning,07/26/2017
MEC-20170727-A,afternoon,07/27/2017
MEC-20170727-E,evening,07/27/2017
MEC-20170727-M,morning,07/27/2017
MEC-20170728-A,afternoon,07/28/2017
MEC-20170728-E,evening,07/28/2017
MEC-20170728-M,morning,07/28/2017
MEC-20170731-A,afternoon,07/31/2017
MEC-20170731-E,evening,07/31/2017
MEC-20170731-M,morning,07/31/2017
MEC-20170801-A,afternoon,08/01/2017
MEC-20170801-E,evening,08/01/2017
MEC-20170801-M,morning,08/01/2017
MEC-20170802-A,afternoon,08/02/2017
MEC-20170802-E,evening,08/02/2017
MEC-20170802-M,morning,08/02/2017
MEC-20170803-A,afternoon,08/03/2017
MEC-20170803-E,evening,08/03/2017
MEC-20170803-M,morning,08/03/2017
MEC-20170804-A,afternoon,08/04/2017
MEC-20170804-E,evening,08/04/2017
MEC-20170804-M,morning,08/04/2017
MEC-20170807-A,afternoon,08/07/2017
MEC-20170807-E,evening,08/07/2017
MEC-20170807-M,morning,08/07/2017
MEC-20170808-A,afternoon,08/08/2017
MEC-20170808-E,evening,08/08/2017
MEC-20170808-M,morning,08/08/2017
MEC-20170809-A,afternoon,08/09/2017
MEC-20170809-E,evening,08/09/2017
MEC-20170809-M,morning,08/09/2017
MEC-20170810-A,afternoon,08/10/2017
MEC-20170810-E,evening,08/10/2017
MEC-20170810-M,morning,08/10/2017
MEC-20170811-A,afternoon,08/11/2017
MEC-20170811-E,evening,08/11/2017
MEC-20170811-M,morning,08/11/2017
MEC-20170814-A,afternoon,08/14/2017
MEC-20170814-E,evening,08/14/2017
MEC-20170814-M,morning,08/14/2017
MEC-20170815-A,afternoon,08/15/2017
MEC-20170815-E,evening,08/15/2017
MEC-20170815-M,morning,08/15/2017
MEC-20170816-A,afternoon,08/16/2017
MEC-20170816-E,evening,08/16/2017
MEC-20170816-M,morning,08/16/2017
MEC-20170817-A,afternoon,08/17/2017
MEC-20170817-E,evening,08/17/2017
MEC-20170817-M,morning,08/17/2017
MEC-20170818-A,afternoon,08/18/2017
MEC-20170818-E,evening,08/18/2017
MEC-20170818-M,morning,08/18/2017
MEC-20170821-A,afternoon,08/21/2017
MEC-20170821-E,evening,08/21/2017
MEC-20170821-M,morning,08/21/2017
MEC-20170822-A,afternoon,08/22/2017
MEC-20170822-E,evening,08/22/2017
MEC-20170822-M,morning,08/22/2017
MEC-20170823-A,afternoon,08/23/2017
MEC-20170823-E,evening,08/23/2017
MEC-20170823-M,morning,08/23/2017
MEC-20170824-A,afternoon,08/24/2017
MEC-20170824-E,evening,08/24/2017
MEC-20170824-M,morning,08/24/2017
MEC-20170825-A,afternoon,08/25/2017
MEC-20170825-E,evening,08/25/2017
MEC-20170825-M,morning,08/25/2017
MEC-20170828-A,afternoon,08/28/2017
MEC-20170828-E,evening,08/28/2017
MEC-20170828-M,morning,08/28/2017
MEC-20170829-A,afternoon,08/29/2017
MEC-20170829-E,evening,08/29/2017
MEC-20170829-M,morning,08/29/2017
MEC-20170830-A,afternoon,08/30/2017
MEC-20170830-E,evening,08/30/2017
MEC-20170830-M,morning,08/30/2017
MEC-20170831-A,afternoon,08/31/2017
MEC-20170831-E,evening,08/31/2017
MEC-20170831-M,morning,08/31/2017
MEC-20170901-A,afternoon,09/01/2017
MEC-20170901-E,evening,09/01/2017
MEC-20170901-M,morning,09/01/2017
MEC-20170904-A,afternoon,09/04/2017
MEC-20170904-E,evening,09/04/2017
MEC-20170904-M,morning,09/04/2017
MEC-20170905-A,afternoon,09/05/2017
MEC-20170905-E,evening,09/05/2017
MEC-20170905-M,morning,09/05/2017
MEC-20170906-A,afternoon,09/06/2017
MEC-20170906-E,evening,09/06/2017
MEC-20170906-M,morning,09/06/2017
MEC-20170907-A,afternoon,09/07/2017
MEC-20170907-E,evening,09/07/2017
MEC-20170907-M,morning,09/07/2017
MEC-20170908-A,afternoon,09/08/2017
MEC-20170908-E,evening,09/08/2017
MEC-20170908-M,morning,09/08/2017
MEC-20170911-A,afternoon,09/11/2017
MEC-20170911-E,evening,09/11/2017
MEC-20170911-M,morning,09/11/2017
MEC-20170912-A,afternoon,09/12/2017
MEC-20170912-E,evening,09/12/2017
MEC-20170912-M,morning,09/12/2017
MEC-20170913-A,afternoon,09/13/2017
MEC-20170913-E,evening,09/13/2017
MEC-20170913-M,morning,09/13/2017
MEC-20170914-A,afternoon,09/14/2017
MEC-20170914-E,evening,09/14/2017
MEC-20170914-M,morning,09/14/2017
MEC-20170915-A,afternoon,09/15/2017
MEC-20170915-E,evening,09/15/2017
MEC-20170915-M,morning,09/15/2017
MEC-20170918-A,afternoon,09/18/2017
MEC-20170918-E,evening,09/18/2017
MEC-20170918-M,morning,09/18/2017
MEC-20170919-A,afternoon,09/19/2017
MEC-20170919-E,evening,09/19/2017
MEC-20170919-M,morning,09/19/2017
MEC-20170920-A,afternoon,09/20/2017
MEC-20170920-E,evening,09/20/2017
MEC-20170920-M,morning,09/20/2017
MEC-20170921-A,afternoon,09/21/2017
MEC-20170921-E,evening,09/21/2017
MEC-20170921-M,morning,09/21/2017
MEC-20170922-A,afternoon,09/22/2017
MEC-20170922-E,evening,09/22/2017
MEC-20170922-M,morning,09/22/2017
MEC-20170925-A,afternoon,09/25/2017
MEC-20170925-E,evening,09/25/2017
MEC-20170925-M,morning,09/25/2017
MEC-20170926-A,afternoon,09/26/2017
MEC-20170926-E,evening,09/26/2017
MEC-20170926-M,morning,09/26/2017
MEC-20170927-A,afternoon,09/27/2017
MEC-20170927-E,evening,09/27/2017
MEC-20170927-M,morning,09/27/2017
MEC-20170928-A,afternoon,09/28/2017
MEC-20170928-E,evening,09/28/2017
MEC-20170928-M,morning,09/28/2017
MEC-20170929-A,afternoon,09/29/2017
MEC-20170929-E,evening,09/29/2017
MEC-20170929-M,morning,09/29/2017
MEC-20171002-A,afternoon,10/02/2017
MEC-20171002-E,evening,10/02/2017
MEC-20171002-M,morning,10/02/2017
MEC-20171003-A,afternoon,10/03/2017
MEC-20171003-E,evening,10/03/2017
MEC-20171003-M,morning,10/03/2017
MEC-20171004-A,afternoon,10/04/2017
MEC-20171004-E,evening,10/04/2017
MEC-20171004-M,morning,10/04/2017
MEC-20171005-A,afternoon,10/05/2017
MEC-20171005-E,evening,10/05/2017
MEC-20171005-M,morning,10/05/2017
MEC-20171006-A,afternoon,10/06/2017
MEC-20171006-E,evening,10/06/2017
MEC-20171006-M,morning,10/06/2017
MEC-20171009-A,afternoon,10/09/2017
MEC-20171009-E,evening,10/09/2017
MEC-20171009-M,morning,10/09/2017
MEC-20171010-A,afternoon,10/10/2017
MEC-20171010-E,evening,10/10/2017
MEC-20171010-M,morning,10/10/2017
MEC-20171011-A,afternoon,10/11/2017
MEC-20171011-E,evening,10/11/2017
MEC-20171011-M,morning,10/11/2017
MEC-20171012-A,afternoon,10/12/2017
MEC-20171012-E,evening,10/12/2017
MEC-20171012-M,morning,10/12/2017
MEC-20171013-A,afternoon,10/13/2017
MEC-20171013-E,evening,10/13/2017
MEC-20171013-M,morning,10/13/2017
MEC-20171016-A,afternoon,10/16/2017
MEC-20171016-E,evening,10/16/2017
MEC-20171016-M,morning,10/16/2017
MEC-20171017-A,afternoon,10/17/2017
MEC-20171017-E,evening,10/17/2017
MEC-20171017-M,morning,10/17/2017
MEC-20171018-A,afternoon,10/18/2017
MEC-20171018-E,evening,10/18/2017
MEC-20171018-M,morning,10/18/2017
MEC-20171019-A,afternoon,10/19/2017
MEC-20171019-E,evening,10/19/2017
MEC-20171019-M,morning,10/19/2017
MEC-20171020-A,afternoon,10/20/2017
MEC-20171020-E,evening,10/20/2017
MEC-20171020-M,morning,10/20/2017
MEC-20171023-A,afternoon,10/23/2017
MEC-20171023-E,evening,10/23/2017
MEC-20171023-M,morning,10/23/2017
MEC-20171024-A,afternoon,10/24/2017
MEC-20171024-E,evening,10/24/2017
MEC-20171024-M,morning,10/24/2017
MEC-20171025-A,afternoon,10/25/2017
MEC-20171025-E,evening,10/25/2017
MEC-20171025-M,morning,10/25/2017
MEC-20171026-A,afternoon,10/26/2017
MEC-20171026-E,evening,10/26/2017
MEC-20171026-M,morning,10/26/2017
MEC-20171027-A,afternoon,10/27/2017
MEC-20171027-E,evening,10/27/2017
MEC-20171027-M,morning,10/27/2017
MEC-20171030-A,afternoon,10/30/2017
MEC-20171030-E,evening,10/30/2017
MEC-20171030-M,morning,10/30/2017
MEC-20171031-A,afternoon,10/31/2017
MEC-20171031-E,evening,10/31/2017
MEC-20171031-M,morning,10/31/2017
MEC-20171101-A,afternoon,11/01/2017
MEC-20171101-E,evening,11/01/2017
MEC-20171101-M,morning,11/01/2017
MEC-20171102-A,afternoon,11/02/2017
MEC-20171102-E,evening,11/02/2017
MEC-20171102-M,morning,11/02/2017
MEC-20171103-A,afternoon,11/03/2017
MEC-20171103-E,evening,11/03/2017
MEC-20171103-M,morning,11/03/2017
MEC-20171106-A,afternoon,11/06/2017
MEC-20171106-E,evening,11/06/2017
MEC-20171106-M,morning,11/06/2017
MEC-20171107-A,afternoon,11/07/2017
MEC-20171107-E,evening,11/07/2017
MEC-20171107-M,morning,11/07/2017
MEC-20171108-A,afternoon,11/08/2017
MEC-20171108-E,evening,11/08/2017
MEC-20171108-M,morning,11/08/2017
MEC-20171109-A,afternoon,11/09/2017
MEC-20171109-E,evening,11/09/2017
MEC-20171109-M,morning,11/09/2017
MEC-20171110-A,afternoon,11/10/2017
MEC-20171110-E,evening,11/10/2017
MEC-20171110-M,morning,11/10/2017
MEC-20171113-A,afternoon,11/13/2017
